,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Num_of_Borrowers,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
24,Male,Yes,1,Graduate,No,3717,2925.0,2,151.0,360.0,1.0,Semiurban,N
25,Male,Yes,0,Graduate,Yes,9560,0.0,1,191.0,360.0,1.0,Semiurban,Y
26,Male,Yes,0,Graduate,No,2799,2253.0,2,122.0,360.0,1.0,Semiurban,Y
27,Male,Yes,2,Not Graduate,No,4226,1040.0,2,110.0,360.0,1.0,Urban,Y
28,Male,No,0,Not Graduate,No,1442,0.0,1,35.0,360.0,1.0,Urban,N
29,Female,No,2,Graduate,No,3750,2083.0,2,120.0,360.0,1.0,Semiurban,Y
30,Male,Yes,1,Graduate,No,4166,3369.0,2,201.0,360.0,1.0,Urban,N
31,Male,No,0,Graduate,No,3167,0.0,1,74.0,360.0,1.0,Urban,N
32,Male,No,1,Graduate,Yes,4692,0.0,1,106.0,360.0,1.0,Rural,N
33,Male,Yes,0,Graduate,No,3500,1667.0,2,114.0,360.0,1.0,Semiurban,Y
34,Male,No,3+,Graduate,No,12500,3000.0,2,320.0,360.0,1.0,Rural,N
35,Male,Yes,0,Graduate,No,2275,2067.0,2,149.2970430107527,360.0,1.0,Urban,Y
36,Male,Yes,0,Graduate,No,1828,1330.0,2,100.0,84.0,0.0,Urban,N
37,Female,Yes,0,Graduate,No,3667,1459.0,2,144.0,360.0,1.0,Semiurban,Y
38,Male,No,0,Graduate,No,4166,7210.0,2,184.0,360.0,1.0,Urban,Y
39,Male,No,0,Not Graduate,No,3748,1668.0,2,110.0,360.0,1.0,Semiurban,Y
40,Male,No,0,Graduate,No,3600,0.0,1,80.0,360.0,1.0,Urban,N
41,Male,No,0,Graduate,No,1800,1213.0,2,47.0,360.0,1.0,Urban,Y
42,Male,Yes,0,Graduate,No,2400,0.0,1,75.0,360.0,1.0,Urban,Y
43,Male,Yes,0,Graduate,No,3941,2336.0,2,134.0,360.0,1.0,Semiurban,Y
44,Male,Yes,0,Not Graduate,Yes,4695,0.0,1,96.0,36.0,1.0,Urban,Y
45,Female,No,0,Graduate,No,3410,0.0,1,88.0,36.0,1.0,Urban,Y
46,Male,Yes,1,Graduate,No,5649,0.0,1,44.0,360.0,1.0,Urban,Y
47,Male,Yes,0,Graduate,No,5821,0.0,1,144.0,360.0,1.0,Urban,Y
48,Female,Yes,0,Graduate,No,2645,3440.0,2,120.0,360.0,0.0,Urban,N
49,Female,No,0,Graduate,No,4000,2275.0,2,144.0,360.0,1.0,Semiurban,Y
50,Female,Yes,0,Not Graduate,No,1928,1644.0,2,100.0,360.0,1.0,Semiurban,Y
51,Female,No,0,Graduate,No,3086,0.0,1,120.0,360.0,1.0,Semiurban,Y
52,Female,No,0,Graduate,No,4230,0.0,1,112.0,360.0,1.0,Semiurban,N
53,Male,Yes,2,Graduate,No,4616,0.0,1,134.0,360.0,1.0,Urban,N
54,Female,Yes,1,Graduate,Yes,11500,0.0,1,286.0,360.0,0.0,Urban,N
55,Male,Yes,2,Graduate,No,2708,1167.0,2,97.0,360.0,1.0,Semiurban,Y
56,Male,Yes,0,Graduate,No,2132,1591.0,2,96.0,360.0,1.0,Semiurban,Y
57,Male,Yes,0,Graduate,No,3366,2200.0,2,135.0,360.0,1.0,Rural,N
58,Male,Yes,1,Graduate,No,8080,2250.0,2,180.0,360.0,1.0,Urban,Y
59,Male,Yes,2,Not Graduate,No,3357,2859.0,2,144.0,360.0,1.0,Urban,Y
60,Male,Yes,0,Graduate,No,2500,3796.0,2,120.0,360.0,1.0,Urban,Y
61,Male,Yes,3+,Graduate,No,3029,0.0,1,99.0,360.0,1.0,Urban,Y
62,Male,Yes,0,Not Graduate,Yes,2609,3449.0,2,165.0,180.0,0.0,Rural,N
63,Male,Yes,1,Graduate,No,4945,0.0,1,149.2970430107527,360.0,0.0,Rural,N
64,Female,No,0,Graduate,No,4166,0.0,1,116.0,360.0,0.0,Semiurban,N
65,Male,Yes,0,Graduate,No,5726,4595.0,2,258.0,360.0,1.0,Semiurban,N
66,Male,No,0,Not Graduate,No,3200,2254.0,2,126.0,180.0,0.0,Urban,N
67,Male,Yes,1,Graduate,No,10750,0.0,1,312.0,360.0,1.0,Urban,Y
68,Male,Yes,3+,Not Graduate,Yes,7100,0.0,1,125.0,60.0,1.0,Urban,Y
69,Female,No,0,Graduate,No,4300,0.0,1,136.0,360.0,0.0,Semiurban,N
70,Male,Yes,0,Graduate,No,3208,3066.0,2,172.0,360.0,1.0,Urban,Y
71,Male,Yes,2,Not Graduate,Yes,1875,1875.0,2,97.0,360.0,1.0,Semiurban,Y
72,Male,No,0,Graduate,No,3500,0.0,1,81.0,300.0,1.0,Semiurban,Y
73,Male,Yes,3+,Not Graduate,No,4755,0.0,1,95.0,36.0,0.0,Semiurban,N
74,Male,Yes,3+,Graduate,Yes,5266,1774.0,2,187.0,360.0,1.0,Semiurban,Y
75,Male,No,0,Graduate,No,3750,0.0,1,113.0,480.0,1.0,Urban,N
76,Male,No,0,Graduate,No,3750,4750.0,2,176.0,360.0,1.0,Urban,N
77,Male,Yes,1,Graduate,Yes,1000,3022.0,2,110.0,360.0,1.0,Urban,N
78,Male,Yes,3+,Graduate,No,3167,4000.0,2,180.0,300.0,0.0,Semiurban,N
79,Male,Yes,3+,Not Graduate,Yes,3333,2166.0,2,130.0,360.0,1.0,Semiurban,Y
80,Female,No,0,Graduate,No,3846,0.0,1,111.0,360.0,1.0,Semiurban,Y
81,Male,Yes,1,Graduate,Yes,2395,0.0,1,149.2970430107527,360.0,1.0,Semiurban,Y
82,Female,Yes,2,Graduate,No,1378,1881.0,2,167.0,360.0,1.0,Urban,N
83,Male,Yes,0,Graduate,No,6000,2250.0,2,265.0,360.0,1.0,Semiurban,N
84,Male,Yes,1,Graduate,No,3988,0.0,1,50.0,240.0,1.0,Urban,Y
85,Male,No,0,Graduate,No,2366,2531.0,2,136.0,360.0,1.0,Semiurban,Y
86,Male,Yes,2,Not Graduate,No,3333,2000.0,2,99.0,360.0,1.0,Semiurban,Y
87,Male,Yes,0,Graduate,No,2500,2118.0,2,104.0,360.0,1.0,Semiurban,Y
88,Male,No,0,Graduate,No,8566,0.0,1,210.0,360.0,1.0,Urban,Y
89,Male,Yes,0,Graduate,No,5695,4167.0,2,175.0,360.0,1.0,Semiurban,Y
90,Male,Yes,0,Graduate,No,2958,2900.0,2,131.0,360.0,1.0,Semiurban,Y
91,Male,Yes,2,Graduate,No,6250,5654.0,2,188.0,180.0,1.0,Semiurban,Y
92,Male,Yes,2,Not Graduate,No,3273,1820.0,2,81.0,360.0,1.0,Urban,Y
93,Male,No,0,Graduate,No,4133,0.0,1,122.0,360.0,1.0,Semiurban,Y
94,Male,No,0,Not Graduate,No,3620,0.0,1,25.0,120.0,1.0,Semiurban,Y
95,Male,No,0,Graduate,No,6782,0.0,1,149.2970430107527,360.0,1.0,Urban,N
96,Female,Yes,0,Graduate,No,2484,2302.0,2,137.0,360.0,1.0,Semiurban,Y
97,Male,Yes,0,Graduate,No,1977,997.0,2,50.0,360.0,1.0,Semiurban,Y
98,Male,Yes,0,Not Graduate,No,4188,0.0,1,115.0,180.0,1.0,Semiurban,Y
99,Male,Yes,0,Graduate,No,1759,3541.0,2,131.0,360.0,1.0,Semiurban,Y
100,Male,Yes,2,Not Graduate,No,4288,3263.0,2,133.0,180.0,1.0,Urban,Y
101,Male,No,0,Graduate,No,4843,3806.0,2,151.0,360.0,1.0,Semiurban,Y
102,Male,Yes,0,Graduate,No,13650,0.0,1,149.2970430107527,360.0,1.0,Urban,Y
103,Male,Yes,0,Graduate,No,4652,3583.0,2,149.2970430107527,360.0,1.0,Semiurban,Y
104,Male,Yes,0,Graduate,No,3816,754.0,2,160.0,360.0,1.0,Urban,Y
105,Male,Yes,1,Graduate,No,3052,1030.0,2,100.0,360.0,1.0,Urban,Y
106,Male,Yes,2,Graduate,No,11417,1126.0,2,225.0,360.0,1.0,Urban,Y
107,Male,No,0,Not Graduate,No,7333,0.0,1,120.0,360.0,1.0,Rural,N
108,Male,Yes,2,Graduate,No,3800,3600.0,2,216.0,360.0,0.0,Urban,N
109,Male,Yes,3+,Not Graduate,No,2071,754.0,2,94.0,480.0,1.0,Semiurban,Y
110,Male,No,0,Graduate,No,5316,0.0,1,136.0,360.0,1.0,Urban,Y
111,Female,Yes,0,Graduate,No,2929,2333.0,2,139.0,360.0,1.0,Semiurban,Y
112,Male,Yes,0,Not Graduate,No,3572,4114.0,2,152.0,180.0,0.0,Rural,N
113,Female,No,1,Graduate,Yes,7451,0.0,1,149.2970430107527,360.0,1.0,Semiurban,Y
114,Male,No,0,Graduate,No,5050,0.0,1,118.0,360.0,1.0,Semiurban,Y
115,Male,Yes,1,Graduate,No,14583,0.0,1,185.0,180.0,1.0,Rural,Y
116,Female,Yes,0,Graduate,No,3167,2283.0,2,154.0,360.0,1.0,Semiurban,Y
117,Male,Yes,1,Graduate,No,2214,1398.0,2,85.0,360.0,1.0,Urban,Y
118,Male,Yes,0,Graduate,No,5568,2142.0,2,175.0,360.0,1.0,Rural,N
119,Female,No,0,Graduate,No,10408,0.0,1,259.0,360.0,1.0,Urban,Y
120,Male,Yes,0,Graduate,No,5667,2667.0,2,180.0,360.0,1.0,Rural,Y
121,Female,No,0,Graduate,No,4166,0.0,1,44.0,360.0,1.0,Semiurban,Y
122,Female,No,0,Graduate,No,2137,8980.0,2,137.0,360.0,0.0,Semiurban,Y
123,Male,Yes,2,Graduate,No,2957,0.0,1,81.0,360.0,1.0,Semiurban,Y
124,Male,Yes,0,Not Graduate,No,4300,2014.0,2,194.0,360.0,1.0,Rural,Y
125,Female,No,0,Graduate,No,3692,0.0,1,93.0,360.0,1.0,Rural,Y
126,Male,Yes,3+,Graduate,No,23803,0.0,1,370.0,360.0,1.0,Rural,Y
127,Male,No,0,Graduate,No,3865,1640.0,2,149.2970430107527,360.0,1.0,Rural,Y
128,Male,Yes,1,Graduate,Yes,10513,3850.0,2,160.0,180.0,0.0,Urban,N
129,Male,Yes,0,Graduate,No,6080,2569.0,2,182.0,360.0,1.0,Rural,N
130,Male,No,0,Graduate,Yes,20166,0.0,1,650.0,480.0,1.0,Urban,Y
131,Male,No,0,Graduate,No,2014,1929.0,2,74.0,360.0,1.0,Urban,Y
132,Male,No,0,Graduate,No,2718,0.0,1,70.0,360.0,1.0,Semiurban,Y
133,Male,Yes,0,Graduate,Yes,3459,0.0,1,25.0,120.0,1.0,Semiurban,Y
134,Male,No,0,Graduate,No,4895,0.0,1,102.0,360.0,1.0,Semiurban,Y
135,Male,Yes,3+,Graduate,No,4000,7750.0,2,290.0,360.0,1.0,Semiurban,N
136,Female,Yes,0,Graduate,No,4583,0.0,1,84.0,360.0,1.0,Rural,N
137,Male,Yes,2,Graduate,Yes,3316,3500.0,2,88.0,360.0,1.0,Urban,Y
138,Male,No,0,Graduate,No,14999,0.0,1,242.0,360.0,0.0,Semiurban,N
139,Male,Yes,2,Not Graduate,No,4200,1430.0,2,129.0,360.0,1.0,Rural,N
140,Male,Yes,2,Graduate,No,5042,2083.0,2,185.0,360.0,1.0,Rural,N
141,Male,No,0,Graduate,No,5417,0.0,1,168.0,360.0,1.0,Urban,Y
142,Male,No,0,Graduate,Yes,6950,0.0,1,175.0,180.0,1.0,Semiurban,Y
143,Male,Yes,0,Graduate,No,2698,2034.0,2,122.0,360.0,1.0,Semiurban,Y
144,Male,Yes,2,Graduate,No,11757,0.0,1,187.0,180.0,1.0,Urban,Y
145,Female,Yes,0,Graduate,No,2330,4486.0,2,100.0,360.0,1.0,Semiurban,Y
146,Female,Yes,2,Graduate,No,14866,0.0,1,70.0,360.0,1.0,Urban,Y
147,Male,Yes,1,Graduate,No,1538,1425.0,2,30.0,360.0,1.0,Urban,Y
148,Female,No,0,Graduate,No,10000,1666.0,2,225.0,360.0,1.0,Rural,N
149,Male,Yes,0,Graduate,No,4860,830.0,2,125.0,360.0,1.0,Semiurban,Y
150,Male,No,0,Graduate,No,6277,0.0,1,118.0,360.0,0.0,Rural,N
151,Male,Yes,0,Graduate,Yes,2577,3750.0,2,152.0,360.0,1.0,Rural,Y
152,Male,No,0,Graduate,No,9166,0.0,1,244.0,360.0,1.0,Urban,N
153,Male,Yes,2,Not Graduate,No,2281,0.0,1,113.0,360.0,1.0,Rural,N
154,Male,No,0,Graduate,No,3254,0.0,1,50.0,360.0,1.0,Urban,Y
155,Male,Yes,3+,Graduate,No,39999,0.0,1,600.0,180.0,0.0,Semiurban,Y
156,Male,Yes,1,Graduate,No,6000,0.0,1,160.0,360.0,1.0,Rural,Y
157,Male,Yes,1,Graduate,No,9538,0.0,1,187.0,360.0,1.0,Urban,Y
158,Male,No,0,Graduate,No,2980,2083.0,2,120.0,360.0,1.0,Rural,Y
159,Male,Yes,0,Graduate,No,4583,5625.0,2,255.0,360.0,1.0,Semiurban,Y
160,Male,Yes,0,Not Graduate,No,1863,1041.0,2,98.0,360.0,1.0,Semiurban,Y
161,Male,Yes,0,Graduate,No,7933,0.0,1,275.0,360.0,1.0,Urban,N
162,Male,Yes,1,Graduate,No,3089,1280.0,2,121.0,360.0,0.0,Semiurban,N
163,Male,Yes,2,Graduate,No,4167,1447.0,2,158.0,360.0,1.0,Rural,Y
164,Male,Yes,0,Graduate,No,9323,0.0,1,75.0,180.0,1.0,Urban,Y
165,Male,Yes,0,Graduate,No,3707,3166.0,2,182.0,240.0,1.0,Rural,Y
166,Female,Yes,0,Graduate,No,4583,0.0,1,112.0,360.0,1.0,Rural,N
167,Male,Yes,0,Graduate,No,2439,3333.0,2,129.0,360.0,1.0,Rural,Y
168,Male,No,0,Graduate,No,2237,0.0,1,63.0,480.0,0.0,Semiurban,N
169,Male,Yes,2,Graduate,No,8000,0.0,1,200.0,360.0,1.0,Semiurban,Y
170,Male,Yes,0,Not Graduate,No,1820,1769.0,2,95.0,360.0,1.0,Rural,Y
171,Male,Yes,3+,Graduate,No,51763,0.0,1,700.0,300.0,1.0,Urban,Y
172,Male,Yes,3+,Not Graduate,No,3522,0.0,1,81.0,180.0,1.0,Rural,N
173,Male,Yes,0,Graduate,No,5708,5625.0,2,187.0,360.0,1.0,Semiurban,Y
174,Male,Yes,0,Not Graduate,Yes,4344,736.0,2,87.0,360.0,1.0,Semiurban,N
175,Male,Yes,0,Graduate,No,3497,1964.0,2,116.0,360.0,1.0,Rural,Y
176,Male,Yes,2,Graduate,No,2045,1619.0,2,101.0,360.0,1.0,Rural,Y
177,Male,Yes,3+,Graduate,No,5516,11300.0,2,495.0,360.0,0.0,Semiurban,N
178,Male,Yes,1,Graduate,No,3750,0.0,1,116.0,360.0,1.0,Semiurban,Y
179,Male,No,0,Not Graduate,No,2333,1451.0,2,102.0,480.0,0.0,Urban,N
180,Male,Yes,1,Graduate,No,6400,7250.0,2,180.0,360.0,0.0,Urban,N
181,Male,No,0,Graduate,No,1916,5063.0,2,67.0,360.0,1.0,Rural,N
182,Male,Yes,0,Graduate,No,4600,0.0,1,73.0,180.0,1.0,Semiurban,Y
183,Male,Yes,1,Graduate,No,33846,0.0,1,260.0,360.0,1.0,Semiurban,N
184,Female,Yes,0,Graduate,No,3625,0.0,1,108.0,360.0,1.0,Semiurban,Y
185,Male,Yes,0,Graduate,Yes,39147,4750.0,2,120.0,360.0,1.0,Semiurban,Y
186,Male,Yes,1,Graduate,Yes,2178,0.0,1,66.0,300.0,0.0,Rural,N
187,Male,Yes,0,Graduate,No,2383,2138.0,2,58.0,360.0,1.0,Rural,Y
188,Male,Yes,0,Graduate,Yes,674,5296.0,2,168.0,360.0,1.0,Rural,Y
189,Male,Yes,0,Graduate,No,9328,0.0,1,188.0,180.0,1.0,Rural,Y
190,Male,No,0,Not Graduate,No,4885,0.0,1,48.0,360.0,1.0,Rural,Y
191,Male,No,0,Graduate,No,12000,0.0,1,164.0,360.0,1.0,Semiurban,N
192,Male,Yes,0,Not Graduate,No,6033,0.0,1,160.0,360.0,1.0,Urban,N
193,Male,No,0,Graduate,No,3858,0.0,1,76.0,360.0,1.0,Semiurban,Y
194,Male,No,0,Graduate,No,4191,0.0,1,120.0,360.0,1.0,Rural,Y
195,Male,Yes,1,Graduate,No,3125,2583.0,2,170.0,360.0,1.0,Semiurban,N
196,Male,No,0,Graduate,No,8333,3750.0,2,187.0,360.0,1.0,Rural,Y
197,Female,No,0,Not Graduate,No,1907,2365.0,2,120.0,60.0,1.0,Urban,Y
198,Female,Yes,0,Graduate,No,3416,2816.0,2,113.0,360.0,1.0,Semiurban,Y
199,Male,No,0,Graduate,Yes,11000,0.0,1,83.0,360.0,1.0,Urban,N
200,Male,Yes,1,Not Graduate,No,2600,2500.0,2,90.0,360.0,1.0,Semiurban,Y
201,Male,No,2,Graduate,No,4923,0.0,1,166.0,360.0,0.0,Semiurban,Y
202,Male,Yes,3+,Not Graduate,No,3992,0.0,1,118.47142857142858,180.0,1.0,Urban,N
203,Male,Yes,1,Not Graduate,No,3500,1083.0,2,135.0,360.0,1.0,Urban,Y
204,Male,Yes,2,Not Graduate,No,3917,0.0,1,124.0,360.0,1.0,Semiurban,Y
205,Female,No,0,Not Graduate,No,4408,0.0,1,120.0,360.0,1.0,Semiurban,Y
206,Female,No,0,Graduate,No,3244,0.0,1,80.0,360.0,1.0,Urban,Y
207,Male,No,0,Not Graduate,No,3975,2531.0,2,55.0,360.0,1.0,Rural,Y
208,Male,No,0,Graduate,No,2479,0.0,1,59.0,360.0,1.0,Urban,Y
209,Male,No,0,Graduate,No,3418,0.0,1,127.0,360.0,1.0,Semiurban,N
210,Female,No,0,Graduate,No,10000,0.0,1,214.0,360.0,1.0,Semiurban,N
211,Male,Yes,3+,Graduate,No,3430,1250.0,2,128.0,360.0,0.0,Semiurban,N
212,Male,Yes,1,Graduate,Yes,7787,0.0,1,240.0,360.0,1.0,Urban,Y
213,Male,Yes,3+,Not Graduate,Yes,5703,0.0,1,130.0,360.0,1.0,Rural,Y
214,Male,Yes,0,Graduate,No,3173,3021.0,2,137.0,360.0,1.0,Urban,Y
215,Male,Yes,3+,Not Graduate,No,3850,983.0,2,100.0,360.0,1.0,Semiurban,Y
216,Male,Yes,0,Graduate,No,150,1800.0,2,135.0,360.0,1.0,Rural,N
217,Male,Yes,0,Graduate,No,3727,1775.0,2,131.0,360.0,1.0,Semiurban,Y
218,Male,Yes,2,Graduate,No,5000,0.0,1,72.0,360.0,0.0,Semiurban,N
219,Female,Yes,2,Graduate,No,4283,2383.0,2,127.0,360.0,1.0,Semiurban,Y
220,Male,Yes,0,Graduate,No,2221,0.0,1,60.0,360.0,0.0,Urban,N
221,Male,Yes,2,Graduate,No,4009,1717.0,2,116.0,360.0,1.0,Semiurban,Y
222,Male,No,0,Graduate,No,2971,2791.0,2,144.0,360.0,1.0,Semiurban,Y
223,Male,Yes,0,Graduate,No,7578,1010.0,2,175.0,300.0,1.0,Semiurban,Y
224,Male,Yes,0,Graduate,No,6250,0.0,1,128.0,360.0,1.0,Semiurban,Y
225,Male,Yes,0,Graduate,No,3250,0.0,1,170.0,360.0,1.0,Rural,N
226,Male,Yes,0,Not Graduate,Yes,4735,0.0,1,138.0,360.0,1.0,Urban,N
227,Male,Yes,2,Graduate,No,6250,1695.0,2,210.0,360.0,1.0,Semiurban,Y
228,Male,Yes,0,Graduate,No,4758,0.0,1,158.0,480.0,1.0,Semiurban,Y
229,Male,No,0,Graduate,Yes,6400,0.0,1,200.0,360.0,1.0,Rural,Y
230,Male,Yes,1,Graduate,No,2491,2054.0,2,104.0,360.0,1.0,Semiurban,Y
231,Male,Yes,0,Graduate,No,3716,0.0,1,42.0,180.0,1.0,Rural,Y
232,Male,No,0,Not Graduate,No,3189,2598.0,2,120.0,36.0,1.0,Rural,Y
233,Female,No,0,Graduate,No,8333,0.0,1,280.0,360.0,1.0,Semiurban,Y
234,Male,Yes,1,Graduate,No,3155,1779.0,2,140.0,360.0,1.0,Semiurban,Y
235,Male,Yes,1,Graduate,No,5500,1260.0,2,170.0,360.0,1.0,Rural,Y
236,Male,Yes,0,Graduate,No,5746,0.0,1,255.0,360.0,1.0,Urban,N
237,Female,No,0,Graduate,Yes,3463,0.0,1,122.0,360.0,1.0,Urban,Y
238,Female,No,1,Graduate,No,3812,0.0,1,112.0,360.0,1.0,Rural,Y
239,Male,Yes,1,Graduate,No,3315,0.0,1,96.0,360.0,1.0,Semiurban,Y
240,Male,Yes,2,Graduate,No,5819,5000.0,2,120.0,360.0,1.0,Rural,Y
241,Male,Yes,1,Not Graduate,No,2510,1983.0,2,140.0,180.0,1.0,Urban,N
242,Male,No,0,Graduate,No,2965,5701.0,2,155.0,60.0,1.0,Urban,Y
243,Male,Yes,2,Graduate,Yes,6250,1300.0,2,108.0,360.0,1.0,Rural,Y
244,Male,Yes,0,Not Graduate,No,3406,4417.0,2,123.0,360.0,1.0,Semiurban,Y
245,Male,No,0,Graduate,Yes,6050,4333.0,2,120.0,180.0,1.0,Urban,N
246,Male,Yes,2,Graduate,No,9703,0.0,1,112.0,360.0,1.0,Urban,Y
247,Male,Yes,1,Not Graduate,No,6608,0.0,1,137.0,180.0,1.0,Urban,Y
248,Male,Yes,1,Graduate,No,2882,1843.0,2,123.0,480.0,1.0,Semiurban,Y
249,Male,Yes,0,Graduate,No,1809,1868.0,2,90.0,360.0,1.0,Urban,Y
250,Male,Yes,0,Not Graduate,No,1668,3890.0,2,201.0,360.0,0.0,Semiurban,N
251,Female,No,2,Graduate,No,3427,0.0,1,138.0,360.0,1.0,Urban,N
252,Male,No,0,Not Graduate,Yes,2583,2167.0,2,104.0,360.0,1.0,Rural,Y
253,Male,Yes,1,Not Graduate,No,2661,7101.0,2,279.0,180.0,1.0,Semiurban,Y
254,Male,No,0,Graduate,Yes,16250,0.0,1,192.0,360.0,0.0,Urban,N
255,Female,No,3+,Graduate,No,3083,0.0,1,255.0,360.0,1.0,Rural,Y
256,Male,No,0,Not Graduate,No,6045,0.0,1,115.0,360.0,0.0,Rural,N
257,Male,Yes,3+,Graduate,No,5250,0.0,1,94.0,360.0,1.0,Urban,N
258,Male,Yes,0,Graduate,No,14683,2100.0,2,304.0,360.0,1.0,Rural,N
259,Male,Yes,3+,Not Graduate,No,4931,0.0,1,128.0,360.0,1.0,Semiurban,N
260,Male,Yes,1,Graduate,No,6083,4250.0,2,330.0,360.0,1.0,Urban,Y
261,Male,No,0,Graduate,No,2060,2209.0,2,134.0,360.0,1.0,Semiurban,Y
262,Female,No,1,Graduate,No,3481,0.0,1,155.0,36.0,1.0,Semiurban,N
263,Female,No,0,Graduate,No,7200,0.0,1,120.0,360.0,1.0,Rural,Y
264,Male,No,0,Graduate,Yes,5166,0.0,1,128.0,360.0,1.0,Semiurban,Y
265,Male,No,0,Graduate,No,4095,3447.0,2,151.0,360.0,1.0,Rural,Y
266,Male,Yes,2,Graduate,No,4708,1387.0,2,150.0,360.0,1.0,Semiurban,Y
267,Male,Yes,3+,Graduate,No,4333,1811.0,2,160.0,360.0,0.0,Urban,Y
268,Female,No,0,Graduate,No,3418,0.0,1,135.0,360.0,1.0,Rural,N
269,Female,No,1,Graduate,No,2876,1560.0,2,90.0,360.0,1.0,Urban,Y
270,Female,No,0,Graduate,No,3237,0.0,1,30.0,360.0,1.0,Urban,Y
271,Male,Yes,0,Graduate,No,11146,0.0,1,136.0,360.0,1.0,Urban,Y
272,Male,No,0,Graduate,No,2833,1857.0,2,126.0,360.0,1.0,Rural,Y
273,Male,Yes,0,Graduate,No,2620,2223.0,2,150.0,360.0,1.0,Semiurban,Y
274,Male,Yes,2,Graduate,No,3900,0.0,1,90.0,360.0,1.0,Semiurban,Y
275,Male,Yes,1,Graduate,No,2750,1842.0,2,115.0,360.0,1.0,Semiurban,Y
276,Male,Yes,0,Graduate,No,3993,3274.0,2,207.0,360.0,1.0,Semiurban,Y
277,Male,Yes,0,Graduate,No,3103,1300.0,2,80.0,360.0,1.0,Urban,Y
278,Male,Yes,0,Graduate,No,14583,0.0,1,436.0,360.0,1.0,Semiurban,Y
279,Female,Yes,0,Not Graduate,No,4100,0.0,1,124.0,360.0,1.0,Rural,Y
280,Male,No,1,Not Graduate,Yes,4053,2426.0,2,158.0,360.0,0.0,Urban,N
281,Male,Yes,0,Graduate,No,3927,800.0,2,112.0,360.0,1.0,Semiurban,Y
282,Male,Yes,2,Graduate,No,2301,985.7999877999998,2,78.0,180.0,1.0,Urban,Y
283,Female,No,0,Graduate,No,1811,1666.0,2,54.0,360.0,1.0,Urban,Y
284,Male,Yes,0,Graduate,No,20667,0.0,1,149.2970430107527,360.0,1.0,Rural,N
285,Male,No,0,Graduate,No,3158,3053.0,2,89.0,360.0,1.0,Rural,Y
286,Female,No,0,Graduate,Yes,2600,1717.0,2,99.0,300.0,1.0,Semiurban,N
287,Male,Yes,0,Graduate,No,3704,2000.0,2,120.0,360.0,1.0,Rural,Y
288,Female,No,0,Graduate,No,4124,0.0,1,115.0,360.0,1.0,Semiurban,Y
289,Male,No,0,Graduate,No,9508,0.0,1,187.0,360.0,1.0,Rural,Y
290,Male,Yes,0,Graduate,No,3075,2416.0,2,139.0,360.0,1.0,Rural,Y
291,Male,Yes,2,Graduate,No,4400,0.0,1,127.0,360.0,0.0,Semiurban,N
